vote_id,code,interinstitutional_file_no,label,date,committee_responsible
38815,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38816,A9-0011/2019,2018/2208/DEC,Discharge 2017: European Asylum Support Office (EASO),2019-10-23,Budgets
38817,A9-0010/2019,2018/2168/DEC,Discharge 2017: EU general budget - European Council and Council,2019-10-23,Budgets
38818,B9-0149/2019,2019/2776/RPS,Objection pursuant to Rule 112: Assessment of the impact of plant protection products on honeybees,2019-10-23,"Environment, Public Health and Food Safety"
38819,RC-B9-0134/2019,2019/2879/RSP,Situation of LGBTI persons in Uganda,2019-10-24,No Committee
38820,RC-B9-0134/2019,2019/2879/RSP,Situation of LGBTI persons in Uganda,2019-10-24,No Committee
38821,RC-B9-0138/2019,2019/2880/RSP,Egypt,2019-10-24,No Committee
38822,RC-B9-0138/2019,2019/2880/RSP,Egypt,2019-10-24,No Committee
38823,RC-B9-0145/2019,2019/2881/RSP,The proposed new Criminal Code of Indonesia,2019-10-24,No Committee
38824,RC-B9-0145/2019,2019/2881/RSP,The proposed new Criminal Code of Indonesia,2019-10-24,No Committee
38825,RC-B9-0145/2019,2019/2881/RSP,The proposed new Criminal Code of Indonesia,2019-10-24,No Committee
38826,RC-B9-0145/2019,2019/2881/RSP,The proposed new Criminal Code of Indonesia,2019-10-24,No Committee
38827,RC-B9-0145/2019,2019/2881/RSP,The proposed new Criminal Code of Indonesia,2019-10-24,No Committee
38828,A9-0020/2019,2019/0183/COD,Financial assistance to Member States to cover serious financial burden inflicted on them following a UK's withdrawal from the EU without an agreement,2019-10-24,Regional Development
38829,B9-0151/2019,2019/2844/RSP,Objection pursuant to Rule 112: partially granting an authorisation for a use of chromium trioxide (Cromomed S.A. and others),2019-10-24,"Environment, Public Health and Food Safety"
38830,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38831,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38832,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38833,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38834,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38835,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38836,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38837,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38838,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38839,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38840,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38841,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38842,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38843,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38844,RC-B9-0118/2019,2019/2854/RSP,Effects of the bankruptcy of Thomas Cook Group,2019-10-24,No Committee
38845,B9-0117/2019,2019/2882/RSP,State of play of the disclosure of income tax information by certain undertakings and branches - public country-by-country reporting,2019-10-24,No Committee
38846,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38847,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38848,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38849,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38850,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38851,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
